"x","y","out003_land_imperviousness_density_change_2024pr","out009_tree_cover_density_2024pr","out010_tree_cover_density_change_2024pr","out011_grassland_2024pr","out012_grassland_change_2024pr","out017_land_use_and_cover_nature_2k_2024pr","out040_plant_phenology_index_total_productivity_2024pr","out057_temperature_avg_absolute_change_2024pr_rcp85","out058_potential_evapotranspiration_relative_change_2024pr_rcp85","out059_precipitation_cum_relative_change_2024pr_rcp85","out065_number_species_cum_all_2024pr","out147_land_use_and_cover_change_2024pr","standard_risk_score","overlap_index_classification"
10.27025,43.92025,-0.0370010440370063,-0.746398607974291,0,0,0,0,-0.1814811047262,0.281235787178422,1.29750091732569,-1.45634226185064,-1.0847138867396,0,-1.92720020082362,"low risk"
10.26975,43.91975,-0.0370010440370063,-0.746398607974291,0,1,-1,0,0.676216006842873,0.281235787178422,1.29750091732569,-1.45634226185064,-1.76934953031696,0,-1.75413873283192,"low risk"
10.27025,43.91975,-0.0370010440370063,-0.746398607974291,0,0,0,0,-0.158609203193452,0.281235787178422,1.29750091732569,-1.45634226185064,-1.0847138867396,0,-1.90432829929087,"low risk"
10.26875,43.91925,-0.0370010440370063,-0.746398607974291,0,0,-1,0,0.145873314298424,0.281235787178422,1.29750091732569,-1.45634226185064,-1.76934953031696,0,-3.28448142537636,"low risk"
10.26925,43.91925,-0.0370010440370063,-0.746398607974291,0,0,0,0,-0.18291057846972,0.281235787178422,1.29750091732569,-1.45634226185064,-1.76934953031696,0,-2.61326531814451,"low risk"
10.26975,43.91925,-0.0370010440370063,-0.746398607974291,0,0,-1,0,0.613318305860347,0.281235787178422,1.29750091732569,-1.45634226185064,-1.0847138867396,0,-2.13240079023707,"low risk"
10.27025,43.91925,-0.0370010440370063,-0.746398607974291,0,0,0,0,-1.55951446533853,0.281235787178422,1.29750091732569,-1.45634226185064,-1.0847138867396,0,-3.30523356143595,"low risk"
10.27075,43.91925,-0.0370010440370063,-0.746398607974291,0,0,0,0,-0.175763102539978,0.281235787178422,1.29750091732569,-1.45634226185064,-1.0847138867396,0,-1.9214821986374,"low risk"
10.26825,43.91875,-0.0370010440370063,-0.746398607974291,0,0,0,0,-1.01487684173375,0.281235787178422,1.29750091732569,-1.45634226185064,-0.979385326189233,0,-2.65526737728081,"low risk"
10.26875,43.91875,-0.0370010440370063,-0.746398607974291,0,0,0,0,0.00292379570357883,0.281235787178422,1.29750091732569,-1.45634226185064,-0.979385326189233,0,-1.63746673984348,"low risk"
10.26925,43.91875,-0.0370010440370063,-0.746398607974291,0,0,0,0,-0.513123944266638,0.281235787178422,1.29750091732569,-1.45634226185064,-1.03204960646442,0,-2.20617876008888,"low risk"
10.26975,43.91875,-0.0370010440370063,-0.746398607974291,0,0,0,0,-0.854773315436645,0.281235787178422,1.29750091732569,-1.45634226185064,-1.03204960646442,0,-2.54782813125888,"low risk"
10.27025,43.91875,-0.0370010440370063,-0.746398607974291,0,0,0,0,-0.638919564229705,0.281235787178422,1.29750091732569,-1.45634226185064,-1.0847138867396,0,-2.38463866032713,"low risk"
10.27075,43.91875,-0.0370010440370063,-0.0529976427595427,0,0,0,0,-0.0285251641440657,0.281235787178422,1.29750091732569,-1.45634226185064,-1.0847138867396,0,-1.08084329502674,"low risk"
10.26875,43.91825,-0.0370010440370063,-0.746398607974291,0,0,0,0,-0.72040080069293,0.281235787178422,1.29750091732569,-1.45634226185064,-0.979385326189233,0,-2.36079133623999,"low risk"
10.26925,43.91825,-0.0370010440370063,-0.746398607974291,0,0,0,0,0.498958690984471,0.281235787178422,1.29750091732569,-1.45634226185064,-0.979385326189233,0,-1.14143184456259,"low risk"
